title,url,description
Когда можно начать пользоваться номинальным счетом?,https://www.tinkoff.ru/business/help/account/nominal/how-to-work/use/?card=q1,Пользоваться номинальным счетом можно сразу после его открытия. Главное — перед зачислением денег на счет передать банку данные бенефициаров и дождаться уведомления с результатами проверки данных. Как передавать данные бенефициаров
Как управлять овернайтом в личном кабинете и мобильном приложении?,https://www.tinkoff.ru/business/help/account/overnight/about/use/?card=personal-account,Все действия по овернайту — через личный кабинет или мобильное приложение: открыть овернайт ; пополнить счет ; просмотреть операции по счету ; настроить автопополнение — доступно клиентам с опцией «Премиум»; просмотреть и сохранить выписки ; закрыть овернайт.
Как снять контракт с учета?,https://www.tinkoff.ru/business/help/account/currency/contract/change-stop/?card=close,"Чтобы снять контракт с учета: В личном кабинете Тинькофф Бизнеса перейдите на вкладку «ВЭД» → «Контракты». Найдите нужный контракт — у него должен быть статус «Проверен». Наведите курсор на строку с контрактом, нажмите три точки справа → «Снять с учета». Выберите причину снятия с учета — по закону их шесть. Какие бывают причины Загрузите подтверждающие документы в поле, которое появится. Если его нет, загружать ничего не надо. Если не знаете, какой документ загрузить, посмотрите описание, которое появится над полем загрузки. Нажмите «Снять с учета». Готово, контракт отправлен на снятие с учета. В течение часа вам придет СМС или пуш‑уведомление в приложении Тинькофф Бизнеса с результатом проверки и ссылкой на личный кабинет. Проверить статус контракта можно в личном кабинете Тинькофф Бизнеса на вкладке «ВЭД» → «Контракты». Статусы бывают такими: «На проверке» — банк проверяет контракт для снятия с учета; «Снят с учета» — контракт прошел проверку и снят с учета; «Не снят с учета» — контракт не прошел проверку: нажмите «Узнать причину» рядом со статусом, прочитайте описание ошибки, исправьте ее и отправьте контракт на снятие еще раз."
"Что делать, если у покупателя не привязывается счет для автоплатежей через СБП?",https://www.tinkoff.ru/business/help/business-payments/internet-acquiring/online/problems/?card=recurrent_payments,"Бывает, что банк покупателя проводит обычные платежи через СБП, но не проводит автоплатежи — их еще называют рекуррентными. Если счет не привязывается, посоветуйте покупателю обратиться в поддержку своего банка. Если банк покупателя не поддерживает автоплатежи по СБП, привязать счет не получится: посоветуйте покупателю привязать карту или счет в другом банке."
Как интегрировать сервис рассрочек и кредитов по API?,https://www.tinkoff.ru/business/help/sales/loans/how-to-integrate/API/?card=process,"Через разработчика. Передайте ему данные для входа в личный кабинет руководителя, параметры для интеграции и эти инструкции: Подключение сервиса кредитования. Подключение по API. Настройки для работы. Схема заявки. Если в компании нет разработчика, можете выбрать подходящего из списка наших партнеров. Услуги разработчика платные. Партнеры-интеграторы Тинькофф"
Можно ли редактировать группу?,https://www.tinkoff.ru/business/help/business-payout/self-employed/payoff/pay-edm/?card=edit,"Нет, сейчас нельзя менять название группы и удалять участников. Если вы уже включили исполнителя в группу, но больше не хотите платить ему на основании акта, отправляйте выплаты по инструкции. Добавляйте самозанятых в группы только тогда, когда будете уверены, что ее не придется редактировать."
Как выдать чек при продаже в рассрочку или кредит?,https://www.tinkoff.ru/business/help/sales/loans/about-loans/check/?card=q2,"Так же, как и при обычной продаже. Если оплата была в торговой точке, выдается электронный или бумажный чек на выбор, если в интернет-магазине — всегда электронный: на эл. почту или в СМС. Чек нужно выдать не позже одного рабочего дня после расчета и не позже дня выдачи товара — это требование закона 54-ФЗ. В интернет-магазинах чек по рассрочке и кредиту можно сформировать в облачной онлайн-кассе или в сервисе фискализации чеков. У каждой кассы свой алгоритм создания чеков, запросите нужную инструкцию в поддержке сервиса. В торговых точках чек пробивают только на онлайн-кассе магазина, в котором покупатель берет рассрочку или кредит. Нельзя использовать облачную онлайн-кассу для платежей в торговой точке."
Где найти всю информацию по 115-ФЗ?,https://www.tinkoff.ru/business/help/account/currency-ruble/actions/115-fz/?card=q11,"В нашей базе знаний, где мы отвечаем на частые вопросы бизнеса. Мы собрали базу знаний из частых вопросов бизнеса. Например, как быть, если контрагенты работают только за наличные, бизнес много и часто платит физлицам или нужно дать заем своей же компании. База знаний Посмотреть вебинар от директора по комплаенсу Тинькофф Галины Кузнецовой, где она отвечала на вопросы компаний и разбирала ситуации из практики:"
Где найти сохраненные шаблоны актов?,https://www.tinkoff.ru/business/help/business-payout/self-employed/contract/act/?card=q3,"Шаблоны актов сохранены в личном кабинете, и вы можете их скачать. Для этого откройте «Зарплатный проект» → «Самозанятые» → «Группы». Выберите нужную группу и нажмите три точки → «Скачать шаблон акта»."
Какие лимиты на прием платежей по QR‑коду?,https://www.tinkoff.ru/business/help/business-payments/sbp/main/conditions/?card=q5,"Ограничение на одну операцию — от 10 ₽ до 1 000 000 ₽. Если сумма должна быть больше, можно разбить ее на несколько платежей. Лимит устанавливает Национальная система платежных карт (НСПК). Но банк имеет право выставлять лимиты индивидуально каждому предпринимателю в рамках лимитов НСПК — то есть ограничение на одну операцию может быть меньше предельной суммы в 1 000 000 ₽. Лимит можно изменить: для этого позвоните по телефону 8 800 755-75-49 или напишите в чат поддержки Тинькофф Бизнеса."
Как оценить покупателя в офлайн-магазине?,https://www.tinkoff.ru/business/help/sales/loans/lend/offline-store/?card=q1,"Есть несколько условий для того, чтобы можно было выдать рассрочку или кредит. Проверьте, чтобы покупатель подходил под эти требования: возраст от 18 до 75 лет; при себе есть собственный паспорт с регистрацией в любом регионе России; при себе есть мобильный телефон. При оформлении заявки на этот номер придет СМС‑код. Покупатель должен будет назвать его, чтобы подтвердить, что это действительно его номер. Не выдавайте рассрочку или кредит покупателям, которые: нетрезвы; ведут себя неадекватно; оформляют кредитный продукт не по своей воле. Например, пришли в сопровождении подозрительных личностей, которые говорят им, что нужно сделать."
Могу ли я получить полные данные клиента?,https://www.tinkoff.ru/business/help/sales/business-reviews/use/reply/?card=q10,"Нет, мы не предоставляем персональные данные клиентов."
Где посмотреть выписку?,https://www.tinkoff.ru/business/help/account/cashbox/about/about/?card=statement,Баланс копилки и историю операций можно посмотреть в личном кабинете Тинькофф. На главной в «Действиях» нажмите «Выписки». На открывшейся странице выберите нужную копилку из списка счетов.
Как и на каком счете сервис удерживает налог с оплаты работы самозанятому?,https://www.tinkoff.ru/business/help/business-payout/self-employed/taxes/business/?card=tax-keeper,"Самозанятый получает оплату на основной счет, после чего Тинькофф переводит 6% на отдельный счет — налоговую копилку. Как открыть налоговую копилку для самозанятого Налоговая копилка — это технический счет, его видит только банк. Он нужен только для хранения налога. Посмотреть баланс, снять или потратить деньги оттуда нельзя. Если самозанятый захочет уплачивать налог сам, он может закрыть налоговую копилку. Тогда банк вернет деньги из копилки на основной счет. Как закрыть налоговую копилку, если самозанятый хочет уплачивать налог самостоятельно"
Как я могу рассчитываться с контрагентами из Азербайджана?,https://www.tinkoff.ru/business/help/account/currency/countries/cis/?card=azerbaijan,"В азербайджанских манатах можно рассчитываться с контрагентами из Азербайджана, которые открыли счет в любом азербайджанском банке, кроме трех. Чтобы отправить перевод в манатах в Азербайджан, нужно правильно заполнить форму платежа."
Как правильно использовать промоматериалы из гайда?,https://www.tinkoff.ru/business/help/sales/loans/about-loans/promo/?card=q7,"В гайде с материалами для коммуникации собраны варианты кнопок и баннеров, оформленные по стандартам Тинькофф. Вы можете менять макеты промоматериалов, соблюдая несколько ограничений. Что нельзя делать с материалами из гайда:"
Зачем нужен уставный капитал?,https://www.tinkoff.ru/business/help/registration/registration/register-llc/open/?card=q7,Уставный капитал служит в качестве материальной базы организации на момент ее регистрации. Также уставный капитал влияет на размер долей участников: сколько участник вложил в уставный капитал — такого размера и будет его доля. Это влияет на голосование на собраниях участников и распределение прибыли компании. Минимальный размер уставного капитала — 10 000 ₽.
Как фильтровать отзывы?,https://www.tinkoff.ru/business/help/sales/business-reviews/use/check/?card=q2,"Фильтровать отзывы можно по статусу, формату и дате. Это можно сделать в личном кабинете Тинькофф Бизнеса: Перейдите в «Отзывы» → «Главная». Нажмите «Статус», «Формат» или значок календаря и выберите один или несколько фильтров, которые хотите применить. Чтобы сбросить фильтры, нажмите «Очистить» справа от кнопок «Статус» и «Формат»."
Как снять обременение с недвижимости?,https://www.tinkoff.ru/business/help/loans/credit-lines/real-estate/return/?card=q2,"Если срок кредитной линии истек и по ней нет задолженности, банк сам снимет обременение и направит обращение в Росреестр на снятие залога. Чтобы снять обременение раньше, нужно досрочно закрыть кредитную линию. Погасите задолженность и напишите персональному менеджеру в чат личного кабинета или мобильного приложения Тинькофф Бизнеса — остальное сделает банк. Как погасить кредитную линию досрочно"
Может ли открыть брокерский счет юридическое лицо — нерезидент РФ?,https://www.tinkoff.ru/business/help/business-invest/account/main/requirements/?card=q6,"Можем открыть брокерский счет компаниям-нерезидентам со статусом КИК и компаниям-нерезидентам, принадлежащим лицам из дружественных стран. Не можем открыть брокерский счет компаниям-нерезидентам, более 50% которых принадлежит иностранным юридическим или физическим лицам из недружественных стран — если у такой компании нет статуса КИК. КИК, контролируемые иностранные компании, — это статус иностранной компании, который присваивается Федеральной налоговой службой России. Чтобы получить статус КИК, владелец компании должен быть налоговым резидентом РФ. Подробнее о статусе КИК и его получении на сайте ФНС"
